site,longitude,latitude,elev_dem,distance_m
COLUMNA_4_CICRA,-70.083319,-12.569049,245.0,2008.2
COLUMNA_4_CICRA,-70.083088,-12.569049,245.0,2033.2
COLUMNA_4_CICRA,-70.082857,-12.569049,245.0,2058.2
COLUMNA_4_CICRA,-70.082626,-12.569049,245.0,2083.2
COLUMNA_4_CICRA,-70.082396,-12.569049,245.0,2108.2
COLUMNA_4_CICRA,-70.082165,-12.569049,246.0,2133.2
COLUMNA_4_CICRA,-70.081934,-12.569049,246.0,2158.2
COLUMNA_5_LOS_AMIGOS,-70.110633,-12.557217,246.0,-2166.9
COLUMNA_5_LOS_AMIGOS,-70.110403,-12.557217,246.0,-2141.9
COLUMNA_5_LOS_AMIGOS,-70.110172,-12.557217,246.0,-2116.9
COLUMNA_5_LOS_AMIGOS,-70.109941,-12.557217,246.0,-2091.9
COLUMNA_5_LOS_AMIGOS,-70.10971,-12.557217,244.0,-2066.9
COLUMNA_5_LOS_AMIGOS,-70.10948,-12.557217,249.0,-2041.9
COLUMNA_5_LOS_AMIGOS,-70.109249,-12.557217,260.0,-2016.9
COLUMNA_5_LOS_AMIGOS,-70.109018,-12.557217,275.0,-1991.9
COLUMNA_5_LOS_AMIGOS,-70.108787,-12.557217,275.0,-1966.9
COLUMNA_5_LOS_AMIGOS,-70.108557,-12.557217,288.0,-1941.9
COLUMNA_5_LOS_AMIGOS,-70.108326,-12.557217,291.0,-1916.9
COLUMNA_5_LOS_AMIGOS,-70.108095,-12.557217,293.0,-1891.9
COLUMNA_5_LOS_AMIGOS,-70.107864,-12.557217,292.0,-1866.9
COLUMNA_5_LOS_AMIGOS,-70.107634,-12.557217,288.0,-1841.9
COLUMNA_5_LOS_AMIGOS,-70.107403,-12.557217,288.0,-1816.9
COLUMNA_5_LOS_AMIGOS,-70.107172,-12.557217,286.0,-1791.9
COLUMNA_5_LOS_AMIGOS,-70.106941,-12.557217,284.0,-1766.9
COLUMNA_5_LOS_AMIGOS,-70.106711,-12.557217,283.0,-1741.9
COLUMNA_5_LOS_AMIGOS,-70.10648,-12.557217,285.0,-1716.9
COLUMNA_5_LOS_AMIGOS,-70.106249,-12.557217,289.0,-1691.9
COLUMNA_5_LOS_AMIGOS,-70.106018,-12.557217,289.0,-1666.9
COLUMNA_5_LOS_AMIGOS,-70.105788,-12.557217,290.0,-1641.9
COLUMNA_5_LOS_AMIGOS,-70.105557,-12.557217,290.0,-1616.9
COLUMNA_5_LOS_AMIGOS,-70.105326,-12.557217,290.0,-1591.9
COLUMNA_5_LOS_AMIGOS,-70.105095,-12.557217,292.0,-1566.9
COLUMNA_5_LOS_AMIGOS,-70.104865,-12.557217,292.0,-1541.9
COLUMNA_5_LOS_AMIGOS,-70.104634,-12.557217,293.0,-1516.9
COLUMNA_5_LOS_AMIGOS,-70.104403,-12.557217,293.0,-1491.9
COLUMNA_5_LOS_AMIGOS,-70.104172,-12.557217,292.0,-1466.9
COLUMNA_5_LOS_AMIGOS,-70.103942,-12.557217,291.0,-1441.9
COLUMNA_5_LOS_AMIGOS,-70.103711,-12.557217,291.0,-1416.9
COLUMNA_5_LOS_AMIGOS,-70.10348,-12.557217,291.0,-1391.9
COLUMNA_5_LOS_AMIGOS,-70.103249,-12.557217,291.0,-1366.9
COLUMNA_5_LOS_AMIGOS,-70.103019,-12.557217,290.0,-1341.9
